Date,City,Cows,States,Venue,Tickets sold / Available,Revenue
20-Jun-16,Camden,NJ,New Jersey,BB&T Pavilion,"19,172 / 25,441","$1,277,629 [13]"
25-Jun-17,Camden,NJ,New Jersey,BB&T Pavilion,"25,153 / 25,485","$1,277,555 "
1-Jun-18,Camden,NJ,New Jersey,BB&T Pavilion,"35,485 / 50,089","$2,495,742 "
2-Jun-18,Camden,NJ,New Jersey,BB&T Pavilion,,
"June 20, 2019[10]",Camden,NJ,New Jersey,BB&T Pavilion,"24,010 / 25,349","$1,793,730 "
11-Jul-18,Albuquerque,NM,New Mexico,Isleta Amphitheater,"10,630 / 15,315","$645,673 "
29-Oct-15,Albany,NY,New York,Times Union Center,"12,648 / 15,258","$999,667 [9]"
31-Oct-15,New York City,NY,New York,Madison Square Garden,N/A,N/A
1-Nov-15,New York City,NY,New York,Madison Square Garden,,
7-Nov-15,New York City,NY,New York,Madison Square Garden,(free show),—
10-Nov-15,Worcester,NY,New York,DCU Center,"13,942 / 13,942","$1,042,557 [11]"
11-Nov-15,Buffalo,NY,New York,First Niagara Center,N/A,N/A
21-Jun-16,Saratoga Springs,NY,New York,Saratoga Performing Arts Center,"19,429 / 25,151","$1,139,939 [13]"
25-Jun-16,New York City,NY,New York,Citi Field,"49,745 / 69,370","$5,145,264 [14]"
26-Jun-16,New York City,NY,New York,Citi Field,,
20-Jun-17,Saratoga Springs,NY,New York,Saratoga Performing Arts Center,"24,946 / 25,462","$1,210,440 "
24-Jun-17,New York City,NY,New York,Citi Field,"27,299 / 27,299","$4,032,321 "
12-Nov-17,New York City,NY,New York,Madison Square Garden,"34,735 / 34,735","$3,990,317 [8]"
14-Nov-17,New York City,NY,New York,Madison Square Garden,,
11-Jun-18,Saratoga Springs,NY,New York,Saratoga Performing Arts Center,"17,877 / 25,131","$1,160,839 "
15-Jun-18,New York City,NY,New York,Citi Field,"59,600 / 76,886","$5,170,084 "
16-Jun-18,New York City,NY,New York,Citi Field,,
19-Jun-18,Darien,NY,New York,Darien Lake Performing Arts Center,"15,352 / 21,722","$991,666 "
18-Jun-19,Saratoga Springs,NY,New York,Saratoga Performing Arts Center,"20,323 / 25,082","$1,470,588 "
31-Oct-19,New York City,NY,New York,Madison Square Garden,,
1-Nov-19,New York City,NY,New York,Madison Square Garden,,
5-Nov-19,Uniondale,NY,New York,Nassau Coliseum,,
6-Nov-19,Uniondale,NY,New York,Nassau Coliseum,,
"June 23, 2019[12]",New York City,NY,New York,Citi Field,"39,726 / 39,726","$4,042,235 "
14-Nov-15,Greensboro,NC,North Carolina,Greensboro Coliseum,,
10-Jun-16,Charlotte [12],NC,North Carolina,PNC Music Pavilion,"18,251 / 18,881","$1,244,311 [13]"
28-Nov-17,Charlotte,NC,North Carolina,Spectrum Center,,
9-Jun-18,Raleigh,NC,North Carolina,Coastal Credit Union Music Park,"19,444 / 19,444","$1,053,430 "
"June 28, 2019[13]",Charlotte,NC,North Carolina,PNC Music Pavilion,"18,993 / 19,474","$1,599,995 "
13-Nov-15,Columbus,OH,Ohio,Nationwide Arena,,
