Date,City,Cows,States,Venue
3-Jul-18,Mountain View,CA,California,Shoreline Amphitheatre
6-Jul-18,Chula Vista,CA,California,Mattress Firm Amphitheatre
7-Jul-18,Los Angeles,CA,California,Dodger Stadium
11-Jul-18,Albuquerque,NM,New Mexico,Isleta Amphitheater
13-Jul-18,Boulder,CO,Colorado,Folsom Field
14-Jul-18,Boulder,CO,Colorado,Folsom Field
22-Aug-18,Bristow,VA,Virginia,Jiffy Lube Live
25-Aug-18,Arrington,VA,Virginia,Lockn' Festival
26-Aug-18,Arrington,VA,Virginia,Lockn' Festival
31-May-19,Mountain View,CA,California,Shoreline Amphitheatre
1-Jun-19,Mountain View,CA,California,Shoreline Amphitheatre
3-Jun-19,Los Angeles,CA,California,Hollywood Bowl
4-Jun-19,Los Angeles,CA,California,Hollywood Bowl
7-Jun-19,George,WA,Washington,The Gorge Amphitheatre
8-Jun-19,George,WA,Washington,The Gorge Amphitheatre
12-Jun-19,Noblesville,IN,Indiana,Ruoff Home Mortgage Music Center
14-Jun-19,Chicago,IL,Illinois,Wrigley Field
15-Jun-19,Chicago,IL,Illinois,Wrigley Field
18-Jun-19,Saratoga Springs,NY,New York,Saratoga Performing Arts Center
20-Jun-19,Camden,NJ,New Jersey,BB&T Pavilion
22-Jun-19,Foxborough,MA,Massachusetts,Gillette Stadium
23-Jun-19,New York City,NY,New York,Citi Field
26-Jun-19,Bristow,VA,Virginia,Jiffy Lube Live
28-Jun-19,Charlotte,NC,North Carolina,PNC Music Pavilion
29-Jun-19,Atlanta,GA,Georgia,Cellairis Amphitheatre
2-Jul-19,Dallas,TX,Texas,Dos Equis Pavilion
5-Jul-19,Boulder,CO,Colorado,Folsom Field
31-Oct-19,New York City,NY,New York,Madison Square Garden
1-Nov-19,New York City,NY,New York,Madison Square Garden
5-Nov-19,Uniondale,NY,New York,Nassau Coliseum
6-Nov-19,Uniondale,NY,New York,Nassau Coliseum
8-Nov-19,Hampton,VA,Virginia,Hampton Coliseum
9-Nov-19,Hampton,VA,Virginia,Hampton Coliseum
27-Dec-19,Inglewood,CA,California,The Forum
28-Dec-19,Inglewood,CA,California,The Forum
30-Dec-19,San Francisco,CA,California,Chase Center
20-Aug-21,New York,NY,New York,Citi Field
21-Aug-21,Philadelphia,PA,Pennsylvania,Citizens Bank Park
23-Aug-21,Bethel,NY,New York,Bethel Woods Center for the Arts
25-Aug-21,Darien,NY,New York,Darien Lake Amphitheater
27-Aug-21,Saratoga Springs,NY,New York,Saratoga Performing Arts Center
28-Aug-21,Hershey,PA,Pennsylvania,Hersheypark Stadium
2-Sep-21,Mansfield,MA,Massachusetts,Xfinity Center
3-Sep-21,Mansfield,MA,Massachusetts,Xfinity Center
5-Sep-21,Hartford,CT,Connecticut,The Xfinity Theatre
7-Sep-21,Cuyahoga Falls,OH,Ohio,Blossom Music Center
10-Sep-21,Clarkston,MI,Michigan,DTE Energy Music Theatre
11-Sep-21,Cincinnati,OH,Ohio,Riverbend Music Center
13-Sep-21,Maryland Heights,MO,Missouri,Hollywood Casino Amphitheatre STL
15-Sep-21,Noblesville,IN,Indiana,Ruoff Music Center
17-Sep-21,Chicago,IL,Illinois,Wrigley Field
18-Sep-21,Chicago,IL,Illinois,Wrigley Field
6-Oct-21,West Palm Beach,FL,Florida ,iTHINK Financial Amphitheatre
7-Oct-21,Tampa,FL,Florida ,MIDFLORIDA Credit Union Amphitheatre
11-Oct-21,Charlotte,NC,North Carolina,PNC Music Pavilion
12-Oct-21,Atlanta,GA,Georgia,Cellairis Amphitheatre at Lakewood
14-Oct-21,Dallas,TX,Texas,Dos Equis Pavilion
15-Oct-21,Woodlands,TX,Texas,Cynthia Woods Mitchell Pavilion Presented by Huntsman
22-Oct-21,Greenwood Village,CO,Colorado,Fiddler’s Green Amphitheater
23-Oct-21,Greenwood Village,CO,Colorado,Fiddler’s Green Amphitheater
27-Oct-21,San Diego,CA,California,North Island Credit Union Amphitheatre
29-Oct-21,Los Angeles,CA,California,Hollywood Bowl
30-Oct-21,Los Angeles,CA,California,Hollywood Bowl
31-Oct-21,Los Angeles,CA,California,Hollywood Bowl
25-Nov-21,Phoenix,AZ,Arizona ,Ak-Chin Pavilion
11-Jun-22,Los Angeles,CA,California,Dodger Stadium
13-Jun-22,Mountain View,CA,California,Shoreline Amphitheatre
14-Jun-22,Mountain View,CA,California,Shoreline Amphitheatre
17-Jun-22,Boulder,CO,Colorado,Folsom Field*
21-Jun-22,Maryland Heights,MO,Missouri,Hollywood Casino Amphitheatre
